//ÁLVARO CASTRO VALVERDE PB3 70926103Z
Cubo  0 ( 5 reg. ASIGNADOS)DNI: 11932930, Nombre: JOSE HERNANDEZ BERMEJO, Provincia: SALAMANCA
                        DNI: 8393920, Nombre: ANTONIO RAMOS GARCIA, Provincia: SALAMANCA
                        DNI: 7453920, Nombre: LUIS CASTA�O MARTIN, Provincia: SALAMANCA
                        DNI: 74567890, Nombre: PEDRO PEREZ GONZALEZ, Provincia: SALAMANCA
                        DNI: 7395860, Nombre: LUIS ALVAREZ MARTIN, Provincia: SALAMANCA



Cubo  1 ( 1 reg. ASIGNADOS)DNI: 71954201, Nombre: RAQUEL MADRID LOPEZ, Provincia: SALAMANCA







Cubo  2 ( 8 reg. ASIGNADOS)DNI: 8939392, Nombre: CARLOS DIEZ MONTERO, Provincia: SALAMANCA
DESBORDADO              DNI: 6883822, Nombre: PEDRO ABARCA MARTIN, Provincia: ZAMORA
                        DNI: 7839282, Nombre: RUBEN SAEZ ALONSO, Provincia: CACERES
                        DNI: 7425362, Nombre: CARLOS ALDEHUELO CANDO, Provincia: SALAMANCA
                        DNI: 20937832, Nombre: MIGUEL CALVO CARRASCO, Provincia: SALAMANCA
                        DNI: 8000202, Nombre: ERNESTO FUENTES MORO, Provincia: SALAMANCA
                        DNI: 16738222, Nombre: IGNACIO FUENTES OLIVERA, Provincia: SALAMANCA
                        DNI: 8939302, Nombre: MANUEL GONZALEZ PLAZA, Provincia: SALAMANCA
Cubo  3 ( 8 reg. ASIGNADOS)DNI: 7839293, Nombre: MANUEL GASTON BURILLO, Provincia: SALAMANCA
DESBORDADO              DNI: 7348383, Nombre: SANTIAGO GUTIERREZ ALONSO, Provincia: SALAMANCA
                        DNI: 7112783, Nombre: FRANCISCO MURIEL ALONSO, Provincia: SALAMANCA
                        DNI: 32947683, Nombre: CIPRIANO RINCON ALAGUERO, Provincia: LEON
                        DNI: 7326263, Nombre: RICARDO ELICES GOMEZ, Provincia: SALAMANCA
                        DNI: 11929273, Nombre: SANTIAGO BERNAL GONZALEZ, Provincia: SALAMANCA
                        DNI: 9262873, Nombre: MIGUEL GONZALO HUEBRA, Provincia: SALAMANCA
                        DNI: 7432653, Nombre: ADOLFO IGLESIAS MARTIN, Provincia: CACERES
Cubo  4 ( 6 reg. ASIGNADOS)DNI: 7838294, Nombre: ALONSO RODRIGUEZ ESTEVEZ, Provincia: ZAMORA
                        DNI: 7829354, Nombre: OVIDIO CEREZO CUADRADO, Provincia: SALAMANCA
                        DNI: 2574114, Nombre: LEONARDO MIGUEL RUBIO, Provincia: SALAMANCA
                        DNI: 4566784, Nombre: JOAQUIN DOMINGUEZ MORALES, Provincia: SALAMANCA
                        DNI: 7124874, Nombre: FRANCISCO RAMOS DIEZ, Provincia: SALAMANCA
                        DNI: 7251874, Nombre: MARIANO JIMENEZ MARTIN, Provincia: SALAMANCA


Cubo  5 ( 4 reg. ASIGNADOS)DNI: 7828645, Nombre: GONZALO SAGRADO MARTIN, Provincia: CACERES
